2023-11-15T15:22:41.869638, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.1440191694322768 m 
2023-11-15T15:22:42.836234, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-61,  1.1115201273766053 m 
2023-11-15T15:22:58.395822, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-72,  1.1440191694322768 m 
2023-11-15T15:23:02.829632, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.5682199970445823 m 
2023-11-15T15:23:05.050329, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-66,  1.4671999269270555 m 
2023-11-15T15:23:11.709076, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-63,  1.3317917407282822 m 
2023-11-15T15:23:12.807026, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-58,  1.2642489251497726 m 
2023-11-15T15:23:13.914053, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-63,  1.2513578179193212 m 
2023-11-15T15:23:15.036299, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.2286552680511544 m 
2023-11-15T15:23:16.147866, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-65,  1.2513578179193212 m 
2023-11-15T15:23:26.125155, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-68,  1.23239473793635 m 
2023-11-15T15:23:38.325695, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-68,  1.6786169856013875 m 
2023-11-15T15:23:44.974006, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-78,  1.6786169856013875 m 
2023-11-15T15:24:08.455193, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-65,  1.3748845371363925 m 
2023-11-15T15:24:21.740264, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-65,  1.3748845371363925 m 
2023-11-15T15:24:25.111833, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-59,  1.3748845371363925 m 
2023-11-15T15:24:38.550256, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-60,  1.0229863645671935 m 
2023-11-15T15:24:41.898, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-60,  1.0229863645671935 m 
2023-11-15T15:24:45.271430, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-61,  1.0229863645671935 m 
2023-11-15T15:24:47.507804, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.0510634797067606 m 
2023-11-15T15:24:50.875918, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-61,  1.0607339971438132 m 
2023-11-15T15:24:51.995774, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.0805551379313039 m 
2023-11-15T15:24:57.588594, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.092760977372723 m 
2023-11-15T15:25:04.300080, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.1275740199413335 m 
2023-11-15T15:25:13.250244, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-67,  1.1440191694322768 m 
2023-11-15T15:25:14.367513, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-70,  1.3317917407282822 m 
2023-11-15T15:25:22.203109, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-61,  1.3317917407282822 m 
2023-11-15T15:25:31.165817, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-63,  1.3748845371363925 m 
2023-11-15T15:25:34.517102, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-62,  1.1440191694322768 m 
2023-11-15T15:25:40.116821, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-63,  1.178114965822176 m 
2023-11-15T15:25:42.350941, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-64,  1.2138722464362082 m 
2023-11-15T15:25:47.899007, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-56,  1.189846194110576 m 
2023-11-15T15:26:01.163348, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59245, ! (321389),-60,  1.0229863645671935 m 
2023-11-15T15:26:01.164045, 7777772e-6b6b-6d63-6e2e-636f6d000001 ,4,59247, Give (321391),-78,  1.2906406130234607 m 
